turtle,monkey,gorilla,owl,leopard,tiger,snake
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
1,,,,,,
,1,,,,,
,1,,,,,
,1,,,,,
,1,,,,,
,1,,,,,
,1,,,,,
,1,,,,,
,1,,,,,
,1,,,,,
,1,,,,,
,1,,,,,
,1,,,,,
,1,,,,,
,1,,,,,
,1,,,,,
,1,,,,,
,1,,,,,
,1,,,,,
,,1,,,,
,,1,,,,
,,1,,,,
,,1,,,,
,,1,,,,
,,1,,,,
,,1,,,,
,,1,,,,
,,1,,,,
,,1,,,,
,,1,,,,
,,1,,,,
,,1,,,,
,,1,,,,
,,1,,,,
,,1,,,,
,,1,,,,
,,1,,,,
,,1,,,,
,,,1,,,
,,,1,,,
,,,1,,,
,,,1,,,
,,,1,,,
,,,1,,,
,,,1,,,
,,,1,,,
,,,1,,,
,,,1,,,
,,,1,,,
,,,1,,,
,,,1,,,
,,,,1,,
,,,,1,,
,,,,1,,
,,,,1,,
,,,,1,,
,,,,1,,
,,,,1,,
,,,,1,,
,,,,1,,
,,,,1,,
,,,,1,,
,,,,1,,
,,,,1,,
,,,,1,,
,,,,1,,
,,,,1,,
,,,,1,,
,,,,1,,
,,,,1,,
,,,,1,,
,,,,,1,
,,,,,1,
,,,,,1,
,,,,,1,
,,,,,1,
,,,,,1,
,,,,,1,
,,,,,1,
,,,,,1,
,,,,,1,
,,,,,1,
,,,,,1,
,,,,,1,
,,,,,1,
,,,,,1,
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
,,,,,,1
